simulation,resource_state,gamma_label,gamma,rho,h,p_future,net_mrg
optimal_curiosity_curve,enriched,high,0.9,0.5,13.0,0.14858490566037735,-0.0013988908972961912
optimal_curiosity_curve,enriched,high,0.9,0.5,14.0,0.15555555555555556,-0.0013995279178672204
optimal_curiosity_curve,enriched,high,0.9,0.5,15.0,0.16227272727272726,-0.0013997997776570659
optimal_curiosity_curve,enriched,high,0.9,0.75,0.0,0.014375,0.011537500000000001
optimal_curiosity_curve,enriched,high,0.9,0.75,1.0,0.032621951219512196,0.010536786046652346
optimal_curiosity_curve,enriched,high,0.9,0.75,2.0,0.05,0.006038449969971394
optimal_curiosity_curve,enriched,high,0.9,0.75,3.0,0.06656976744186045,0.002626469818506518
optimal_curiosity_curve,enriched,high,0.9,0.75,4.0,0.08238636363636363,0.0006259919200975446
optimal_curiosity_curve,enriched,high,0.9,0.75,5.0,0.09749999999999999,-0.00042518555376923773
optimal_curiosity_curve,enriched,high,0.9,0.75,6.0,0.11195652173913041,-0.0009449053767606586
optimal_curiosity_curve,enriched,high,0.9,0.75,7.0,0.12579787234042553,-0.0011920970894730835
optimal_curiosity_curve,enriched,high,0.9,0.75,8.0,0.1390625,-0.0013065601199203562
optimal_curiosity_curve,enriched,high,0.9,0.75,9.0,0.1517857142857143,-0.0013585343856017261
optimal_curiosity_curve,enriched,high,0.9,0.75,10.0,0.164,-0.0013817847129168062
optimal_curiosity_curve,enriched,high,0.9,0.75,11.0,0.17573529411764707,-0.0013920642837424388
optimal_curiosity_curve,enriched,high,0.9,0.75,12.0,0.18701923076923077,-0.0013965664105075714
optimal_curiosity_curve,enriched,high,0.9,0.75,13.0,0.19787735849056604,-0.0013985229568754037
optimal_curiosity_curve,enriched,high,0.9,0.75,14.0,0.20833333333333337,-0.0013993677471435988
optimal_curiosity_curve,enriched,high,0.9,0.75,15.0,0.2184090909090909,-0.0013997305130650423
optimal_curiosity_curve,enriched,high,0.9,1.0,0.0,0.0024999999999999996,0.0008499999999999998
optimal_curiosity_curve,enriched,high,0.9,1.0,1.0,0.026829268292682923,0.008417169832760807
optimal_curiosity_curve,enriched,high,0.9,1.0,2.0,0.049999999999999996,0.0060384499699713936
optimal_curiosity_curve,enriched,high,0.9,1.0,3.0,0.07209302325581395,0.002960543733579111
optimal_curiosity_curve,enriched,high,0.9,1.0,4.0,0.09318181818181817,0.0008914667234206713
optimal_curiosity_curve,enriched,high,0.9,1.0,5.0,0.11333333333333333,-0.0002668823530992848
optimal_curiosity_curve,enriched,high,0.9,1.0,6.0,0.1326086956521739,-0.0008609558831534014
optimal_curiosity_curve,enriched,high,0.9,1.0,7.0,0.15106382978723404,-0.0011503406909528784
optimal_curiosity_curve,enriched,high,0.9,1.0,8.0,0.16874999999999998,-0.001286612280352792
optimal_curiosity_curve,enriched,high,0.9,1.0,9.0,0.18571428571428572,-0.001349265601206818
optimal_curiosity_curve,enriched,high,0.9,1.0,10.0,0.20199999999999999,-0.0013775640976170416
optimal_curiosity_curve,enriched,high,0.9,1.0,11.0,0.21764705882352942,-0.001390171665220761
optimal_curiosity_curve,enriched,high,0.9,1.0,12.0,0.2326923076923077,-0.0013957278732279295
optimal_curiosity_curve,enriched,high,0.9,1.0,13.0,0.24716981132075472,-0.0013981550164546164
optimal_curiosity_curve,enriched,high,0.9,1.0,14.0,0.2611111111111111,-0.0013992075764199773
optimal_curiosity_curve,enriched,high,0.9,1.0,15.0,0.27454545454545454,-0.0013996612484730188
optimal_curiosity_curve,depleted,low,0.18,0.0,0.0,0.05,-0.027750000000000004
optimal_curiosity_curve,depleted,low,0.18,0.0,1.0,0.05,-0.02923256809729856
optimal_curiosity_curve,depleted,low,0.18,0.0,2.0,0.05,-0.030470913065360726
optimal_curiosity_curve,depleted,low,0.18,0.0,3.0,0.05,-0.0315052657286341
optimal_curiosity_curve,depleted,low,0.18,0.0,4.0,0.05,-0.03236922969636026
optimal_curiosity_curve,depleted,low,0.18,0.0,5.0,0.05,-0.03309087306233461
optimal_curiosity_curve,depleted,low,0.18,0.0,6.0,0.05,-0.03369364026919555
optimal_curiosity_curve,depleted,low,0.18,0.0,7.0,0.05,-0.03419711376150207
optimal_curiosity_curve,depleted,low,0.18,0.0,8.0,0.05,-0.03461765017186091
optimal_curiosity_curve,depleted,low,0.18,0.0,9.0,0.05,-0.03496891170824747
optimal_curiosity_curve,depleted,low,0.18,0.0,10.0,0.05,-0.03526231000600573
optimal_curiosity_curve,depleted,low,0.18,0.0,11.0,0.05,-0.03550737686420197
optimal_curiosity_curve,depleted,low,0.18,0.0,12.0,0.05,-0.03571207391065744
optimal_curiosity_curve,depleted,low,0.18,0.0,13.0,0.05,-0.035883051255925565
optimal_curiosity_curve,depleted,low,0.18,0.0,14.0,0.05,-0.036025863539254216
optimal_curiosity_curve,depleted,low,0.18,0.0,15.0,0.05,-0.03614515038534226
optimal_curiosity_curve,depleted,low,0.18,0.25,0.0,0.038125000000000006,-0.029887500000000004
optimal_curiosity_curve,depleted,low,0.18,0.25,1.0,0.044207317073170736,-0.030103490086026162
optimal_curiosity_curve,depleted,low,0.18,0.25,2.0,0.05,-0.030470913065360726
optimal_curiosity_curve,depleted,low,0.18,0.25,3.0,0.055523255813953495,-0.03092590554749484
optimal_curiosity_curve,depleted,low,0.18,0.25,4.0,0.06079545454545455,-0.03142338156261986
optimal_curiosity_curve,depleted,low,0.18,0.25,5.0,0.06583333333333334,-0.031932149532073906
optimal_curiosity_curve,depleted,low,0.18,0.25,6.0,0.07065217391304349,-0.032431230815167626
optimal_curiosity_curve,depleted,low,0.18,0.25,7.0,0.07526595744680852,-0.03290709146013344
optimal_curiosity_curve,depleted,low,0.18,0.25,8.0,0.0796875,-0.033351567461403324
optimal_curiosity_curve,depleted,low,0.18,0.25,9.0,0.08392857142857144,-0.03376031608170111
optimal_curiosity_curve,depleted,low,0.18,0.25,10.0,0.088,-0.03413166561057007
optimal_curiosity_curve,depleted,low,0.18,0.25,11.0,0.09191176470588236,-0.03446576629448891
optimal_curiosity_curve,depleted,low,0.18,0.25,12.0,0.09567307692307693,-0.03476396834827722
optimal_curiosity_curve,depleted,low,0.18,0.25,13.0,0.09929245283018868,-0.03502837065445596
optimal_curiosity_curve,depleted,low,0.18,0.25,14.0,0.10277777777777779,-0.035261497275133655
optimal_curiosity_curve,depleted,low,0.18,0.25,15.0,0.10613636363636364,-0.03546606922706742
optimal_curiosity_curve,depleted,low,0.18,0.5,0.0,0.026250000000000002,-0.032025000000000005
optimal_curiosity_curve,depleted,low,0.18,0.5,1.0,0.03841463414634146,-0.030974412074753772
optimal_curiosity_curve,depleted,low,0.18,0.5,2.0,0.05,-0.030470913065360726
optimal_curiosity_curve,depleted,low,0.18,0.5,3.0,0.061046511627906974,-0.030346545366355584
optimal_curiosity_curve,depleted,low,0.18,0.5,4.0,0.0715909090909091,-0.03047753342887946
optimal_curiosity_curve,depleted,low,0.18,0.5,5.0,0.08166666666666667,-0.0307734260018132
optimal_curiosity_curve,depleted,low,0.18,0.5,6.0,0.09130434782608696,-0.0311688213611397
optimal_curiosity_curve,depleted,low,0.18,0.5,7.0,0.10053191489361701,-0.0316170691587648
optimal_curiosity_curve,depleted,low,0.18,0.5,8.0,0.109375,-0.032085484750945734
optimal_curiosity_curve,depleted,low,0.18,0.5,9.0,0.11785714285714285,-0.03255172045515475
optimal_curiosity_curve,depleted,low,0.18,0.5,10.0,0.126,-0.03300102121513442
optimal_curiosity_curve,depleted,low,0.18,0.5,11.0,0.1338235294117647,-0.033424155724775854
optimal_curiosity_curve,depleted,low,0.18,0.5,12.0,0.14134615384615384,-0.03381586278589699
optimal_curiosity_curve,depleted,low,0.18,0.5,13.0,0.14858490566037735,-0.034173690052986344
optimal_curiosity_curve,depleted,low,0.18,0.5,14.0,0.15555555555555556,-0.034497131011013094
optimal_curiosity_curve,depleted,low,0.18,0.5,15.0,0.16227272727272726,-0.03478698806879259
optimal_curiosity_curve,depleted,low,0.18,0.75,0.0,0.014375,-0.034162500000000005
