condition,algorithm,arm_regime,k,round,n_sims,active_ecological_richness_mean,active_ecological_richness_sd,active_feasible_richness_mean,active_feasible_richness_sd,cumulative_unique_mean,cumulative_unique_sd,unique_share_mean,unique_share_sd,unique_over_active_mean,unique_over_active_sd,new_discovered_mean,new_discovered_sd,feasible_richness_mean,feasible_richness_sd,cumulative_unique_over_feasible_mean,cumulative_unique_over_feasible_sd
ecology_k_10,egreedy_0.1,fixed,10,29,100,10.0,0.0,9.99,0.099498743710662,4.09,1.5303267624922463,0.40900000000000003,0.15303267624922462,0.40900000000000003,0.15303267624922462,0.17,0.37563279941985894,9.99,0.099498743710662,0.40944444444444444,0.15307042678308425
ecology_k_10,egreedy_0.1,fixed,10,30,100,10.0,0.0,9.99,0.099498743710662,4.2,1.5937377450509227,0.42,0.15937377450509227,0.42,0.15937377450509227,0.11,0.31288975694324034,9.99,0.099498743710662,0.42044444444444445,0.1593793517924382
ecology_k_10,egreedy_0.1,fixed,10,31,100,10.0,0.0,9.99,0.099498743710662,4.31,1.5980926130859876,0.431,0.15980926130859877,0.431,0.15980926130859877,0.11,0.31288975694324034,9.99,0.099498743710662,0.43144444444444446,0.15978422950967344
ecology_k_10,egreedy_0.1,fixed,10,32,100,10.0,0.0,9.99,0.099498743710662,4.44,1.60822883943797,0.444,0.16082288394379698,0.444,0.16082288394379698,0.13,0.33630343441600474,9.99,0.099498743710662,0.4444444444444444,0.16076207402383325
ecology_k_10,egreedy_0.1,fixed,10,33,100,10.0,0.0,9.99,0.099498743710662,4.57,1.6202160349780519,0.457,0.1620216034978052,0.457,0.1620216034978052,0.13,0.33630343441600474,9.99,0.099498743710662,0.45755555555555555,0.1622631607399946
ecology_k_10,egreedy_0.1,fixed,10,34,100,10.0,0.0,9.99,0.099498743710662,4.63,1.6226829634897877,0.463,0.16226829634897877,0.463,0.16226829634897877,0.06,0.23748684174075835,9.99,0.099498743710662,0.46355555555555555,0.16248897398490356
ecology_k_10,egreedy_0.1,fixed,10,35,100,10.0,0.0,9.99,0.099498743710662,4.74,1.6469365500832143,0.474,0.16469365500832142,0.474,0.16469365500832142,0.11,0.31288975694324034,9.99,0.099498743710662,0.4746666666666667,0.16533602148352305
ecology_k_10,egreedy_0.1,fixed,10,36,100,10.0,0.0,9.99,0.099498743710662,4.84,1.6353592877407703,0.484,0.16353592877407705,0.484,0.16353592877407705,0.1,0.3,9.99,0.099498743710662,0.4846666666666667,0.1641422147610622
ecology_k_10,egreedy_0.1,fixed,10,37,100,10.0,0.0,9.99,0.099498743710662,4.91,1.631533021424942,0.491,0.16315330214249418,0.491,0.16315330214249418,0.07,0.2551470164434615,9.99,0.099498743710662,0.49166666666666664,0.16373250542678852
ecology_k_10,egreedy_0.1,fixed,10,38,100,10.0,0.0,9.99,0.099498743710662,5.02,1.6308280105516952,0.502,0.1630828010551695,0.502,0.1630828010551695,0.11,0.31288975694324034,9.99,0.099498743710662,0.5026666666666667,0.16361743998323242
ecology_k_10,egreedy_0.1,fixed,10,39,100,10.0,0.0,9.99,0.099498743710662,5.11,1.666703332930009,0.511,0.16667033329300088,0.511,0.16667033329300088,0.09,0.2861817604250837,9.99,0.099498743710662,0.5116666666666667,0.1671576102565081
ecology_k_10,egreedy_0.1,fixed,10,40,100,10.0,0.0,9.99,0.099498743710662,5.19,1.6952580924449232,0.519,0.16952580924449231,0.519,0.16952580924449231,0.08,0.2712931993250107,9.99,0.099498743710662,0.5196666666666666,0.1699735273505848
ecology_k_10,egreedy_0.1,fixed,10,41,100,10.0,0.0,9.99,0.099498743710662,5.31,1.7532541173486518,0.531,0.17532541173486518,0.531,0.17532541173486518,0.12,0.32496153618543844,9.99,0.099498743710662,0.5316666666666666,0.17571283390805578
ecology_k_10,egreedy_0.1,fixed,10,42,100,10.0,0.0,9.99,0.099498743710662,5.38,1.7876241215647097,0.538,0.17876241215647096,0.538,0.17876241215647096,0.07,0.2551470164434615,9.99,0.099498743710662,0.5386666666666666,0.17911634952361738
ecology_k_10,egreedy_0.1,fixed,10,43,100,10.0,0.0,9.99,0.099498743710662,5.48,1.8137254478007414,0.548,0.18137254478007414,0.548,0.18137254478007414,0.1,0.3,9.99,0.099498743710662,0.5486666666666666,0.18168470858422106
ecology_k_10,egreedy_0.1,fixed,10,44,100,10.0,0.0,9.99,0.099498743710662,5.56,1.8456435192094924,0.556,0.18456435192094925,0.556,0.18456435192094925,0.08,0.2712931993250107,9.99,0.099498743710662,0.5566666666666666,0.1848422751068236
ecology_k_10,egreedy_0.1,fixed,10,45,100,10.0,0.0,9.99,0.099498743710662,5.64,1.8249383551232627,0.564,0.18249383551232629,0.564,0.18249383551232629,0.08,0.2712931993250107,9.99,0.099498743710662,0.5646666666666667,0.18274572498419764
ecology_k_10,egreedy_0.1,fixed,10,46,100,10.0,0.0,9.99,0.099498743710662,5.75,1.851350858157362,0.575,0.18513508581573618,0.575,0.18513508581573618,0.11,0.31288975694324034,9.99,0.099498743710662,0.5756666666666667,0.18534382464310306
ecology_k_10,egreedy_0.1,fixed,10,47,100,10.0,0.0,9.99,0.099498743710662,5.84,1.9530488985173924,0.584,0.19530488985173924,0.584,0.19530488985173924,0.09,0.2861817604250837,9.99,0.099498743710662,0.5846666666666667,0.19547207814246345
ecology_k_10,egreedy_0.1,fixed,10,48,100,10.0,0.0,9.99,0.099498743710662,5.92,1.9630588376307012,0.592,0.19630588376307012,0.592,0.19630588376307012,0.08,0.2712931993250107,9.99,0.099498743710662,0.5926666666666667,0.19644507289995
ecology_k_10,egreedy_0.1,fixed,10,49,100,10.0,0.0,9.99,0.099498743710662,6.01,1.9672061406980206,0.601,0.19672061406980204,0.601,0.19672061406980204,0.09,0.2861817604250837,9.99,0.099498743710662,0.6016666666666667,0.19682902902434557
ecology_k_10,egreedy_0.1,fixed,10,50,100,10.0,0.0,9.99,0.099498743710662,6.16,2.0234623791906783,0.616,0.20234623791906783,0.616,0.20234623791906783,0.15,0.3570714214271425,9.99,0.099498743710662,0.6166666666666667,0.20240223977680352
ecology_k_10,egreedy_0.1,fixed,10,51,100,10.0,0.0,9.99,0.099498743710662,6.23,2.0290638235403047,0.623,0.20290638235403044,0.623,0.20290638235403044,0.07,0.2551470164434615,9.99,0.099498743710662,0.6236666666666667,0.20293923556900803
ecology_k_10,egreedy_0.1,fixed,10,52,100,10.0,0.0,9.99,0.099498743710662,6.35,2.075451758051726,0.635,0.2075451758051726,0.635,0.2075451758051726,0.12,0.32496153618543844,9.99,0.099498743710662,0.6356666666666667,0.2075387514015957
ecology_k_10,egreedy_0.1,fixed,10,53,100,10.0,0.0,9.99,0.099498743710662,6.41,2.1452039530077323,0.641,0.21452039530077321,0.641,0.21452039530077321,0.06,0.23748684174075835,9.99,0.099498743710662,0.6416666666666667,0.21449553219900253
ecology_k_10,egreedy_0.1,fixed,10,54,100,10.0,0.0,9.99,0.099498743710662,6.53,2.114024597775532,0.653,0.2114024597775532,0.653,0.2114024597775532,0.12,0.32496153618543844,9.99,0.099498743710662,0.6536666666666666,0.21133937951393095
ecology_k_10,egreedy_0.1,fixed,10,55,100,10.0,0.0,9.99,0.099498743710662,6.59,2.0789179878003847,0.659,0.20789179878003847,0.659,0.20789179878003847,0.06,0.23748684174075835,9.99,0.099498743710662,0.6596666666666666,0.20780840534813153
ecology_k_10,egreedy_0.1,fixed,10,56,100,10.0,0.0,9.99,0.099498743710662,6.67,2.102641196210138,0.667,0.2102641196210138,0.667,0.2102641196210138,0.08,0.2712931993250107,9.99,0.099498743710662,0.6676666666666666,0.21015629104708397
ecology_k_10,egreedy_0.1,fixed,10,57,100,10.0,0.0,9.99,0.099498743710662,6.71,2.1274162733231123,0.671,0.21274162733231125,0.671,0.21274162733231125,0.04,0.19595917942265426,9.99,0.099498743710662,0.6716666666666666,0.21262251370288457
ecology_k_10,egreedy_0.1,fixed,10,58,100,10.0,0.0,9.99,0.099498743710662,6.8,2.1587033144922905,0.68,0.21587033144922904,0.68,0.21587033144922904,0.09,0.2861817604250837,9.99,0.099498743710662,0.6806666666666666,0.21572513375435262
ecology_k_10,egreedy_0.1,fixed,10,59,100,10.0,0.0,9.99,0.099498743710662,6.85,2.1696773953747135,0.685,0.21696773953747134,0.685,0.21696773953747134,0.05,0.21794494717703367,9.99,0.099498743710662,0.6856666666666666,0.21680790268499595
